,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label_amir,human_label_adva,human_label_alon,verdict,Algorithm,prob,Compare,compare with no 0,Amir-change 0,52,85,59
29408,free_mentions,Avoda,Left,Likud,Right,mikiros1,netanyahu,??????? ?????-????? ???????? ???? ?????? ?????? ?? ????? ???????? ???? ??? ???? ?????? ?? ??????? ???? ?????? ????? ???. https://t.co/2bWVPkeZxi,-1,-1,none,-1,-1,0.9434069,good,good,,,,
335,user_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,regev_miri,@guy_glick @regev_miri ???? ?????? ????? ???? ???????..,-1,0,none,0,1,0.57856685,bad,good,1,,,
11237,free_mentions,Likud,Right,Avoda,Left,davidbitan,HavodaParty,@YoavKisch ??? ???? ?????? ???? ?????? ????? ???????? ??????? ???. ????????? ???? ?? ?????? ??????,-1,-1,none,-1,-1,0.6890148,good,good,,,,
43049,free_mentions,Likud,Right,Zehut,Right,YehudahGlick,moshefeiglin,?????????: ?????? ?????? ?????? ????? ?????? ???? ??????????  ??? ?????: 1. ??????? ????? ?? ????? ??????? ???? ????? ???? ?? ????? ???? ??? ???? ?????? ?????? ???? ?? ?? ??? ??? ?? ???. 2. ????? ???? ????? ???????? ????? ???? ????? ?????? ????? ?? ????? https://t.co/eZAiINCENv,0,-1,none,-1,-1,0.94844466,good,good,,,,
34298,free_mentions,Likud,Right,Avoda,Left,oren_haz,ishmuli,@DorSahar @NRozentzweig ?? ?? ??? ??????! ??? ?? ???? ?????? ????? ????,1,-1,none,0,-1,0.88304317,bad,bad,1,,,
797,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,?????? ??????: ???????? ??????? ???? ????? ?? ???? ???????? ????? ???? ???? ??? ???? ?? ???? ??? ???????.???? ?????? ?? ?? ????? ?????? ???.,-1,-1,none,-1,1,0.88183916,bad,bad,,,,
4877,free_mentions,Israel Betenu,Right,Israel Betenu,Right,AvigdorLiberman,Beytenu,"????? ???? ???? ??""?, ????? ???? ?????? ""????? ?????"", ???? ?? ???? ????? ???? 18 ???? ??????? ???? ?? ??????... http://t.co/YeKCQL9B",1,0,none,0,-1,0.8863612,bad,bad,,,,
39050,free_mentions,Avoda,Left,Likud,Right,swid4,netanyahu,"24 ???? ???? ??? ????? ???? ?????? ???? ?? ???? ??? ????, ?? ?????, ???? ????? ??????, ??????? ??? ?? ??? ??? ???? ???? ????? ???. @netanyahu ?? ???? ?? ????? ?????? ??? ?????? ?? ????? ?? ????? ????? ???, ???""? ?? ?? ?????? ??????? ?????? ????? ????? ?????? ?? ???""?!",-1,-1,none,-1,-1,0.96863115,good,good,,,,
43840,quoted_status,Likud,Right,Ichud Hayamin,Right,YehudahGlick,bezalelsm,"????? ??? ??? ?????? ?????? ?? ????? ????? @bezalelsm  ??? ?? ??? ???????? ??????? ?? ??? ??""? ????? ??? ???????? ????? ??""?! ???? ??? ?????  ???? ?????? ???? ??????? @AvigdorLiberman ???? ?? ????? https://t.co/xdNynA4Ekg",1,1,none,1,1,0.9928778,good,good,,,,
43265,user_mentions,Likud,Right,Hadash Taal,Left,YehudahGlick,Ahmad_tibi,@YEnglender @Ahmad_tibi ???? ??? ???? ????? ??? ????? ????? ?????? ??????? ?? ?????? ??????? ????? ?? ??? ??? ????? ????? ???? ???? ???? ?? ?????? ???? ?????? ?? ??? ????? ??? ?????? ???,-1,-1,none,-1,1,0.9781733,bad,bad,,,,
18854,user_mentions,Avoda,Left,Avoda,Left,HassonYoel,swid4,"?????? ?????? ????? ??????? ??? ?????? ?????? ?? ?????? ???""? ??????? ???? 9 ???? ?? ????? ??????.????? ??????? @HerzogMK ???? ????? ????? ?????  @swid4 https://t.co/TbnRFbvXgo",1,1,none,1,1,0.99705327,good,good,,,,
5822,user_mentions,Avoda,Left,Avoda,Left,Ayeletnnv,cabel_eitan,???? ??? @talschneider ??  *?? ??? @cabel_eitan  @globesnews https://t.co/CLioJ1mDhy,1,1,none,1,1,0.9834235,good,good,,,,
41095,free_mentions,Kadima,Left,Likud,Right,Tzipi_Livni,IsraeliPM,"?????? ???????. ????? ????? ??????, ????? ????? ?????? ?????? ??????, ????? ?????? ???? ?? ????? ????? ????? ?????? ??????? ??? ????????. ?????? ????. ?????? ?? ?? ?????? ????????. ??????????, ?? ????? ???????-?????, ??? ?????. https://t.co/3Ei0V9k7Js",-1,-1,none,-1,-1,0.9478215,good,good,,,,
20528,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,Syechimovich,"I added a video to a @YouTube playlist http://t.co/UOA2aoXo ??? ????????': ""?????? ?????? ???? ?????""",1,-1,none,0,1,0.7897145,bad,bad,,,,
44796,free_mentions,Yesh Atid,Center,Likud,Right,YeshAtidParty,netanyahu,"?""? ???? ???? @LapidAtid ?????? @ynet: ?? ????? ???? ?? ????? - ?????? ???? ??????"". http://t.co/zww68c5Nq8",-1,-1,none,-1,-1,0.9181642,good,good,,,,
5743,free_mentions,Avoda,Left,Likud,Right,Ayeletnnv,giladerdan1,"??? ???? ???? ??????, ??? ???? ????? ??????? ?? ?????? ??? ??? ?????? ????? ?? ???? ?????? ?? ???? ???? ????????? ????. ????. @giladerdan1 https://t.co/SwLKZykpq2",-1,-1,none,-1,-1,0.47287133,good,good,,,,
23531,free_mentions,Likud,Right,Likud,Right,Israel_katz,netanyahu,"?????? ?????? ??? ??????? ???????, ?????? ????? ??? ????? ?????? ?????? ?? ????? ??????? ?????? ???? ?????? ?????? ???????? ?? ????? ???????? ???????? ???? ???? ???? ????? ???? ?????. ?????? ????????, ?? ??? ??? ??? ???????? ?????.",1,-1,none,0,-1,0.977705,bad,bad,,,,
17975,user_mentions,Avoda,Left,Likud,Right,HaimJelin,davidbitan,???? ??? ????? .???? ??????? ??? ??? .????? ?? ?????? ???? ?????? .@davidbitan ??? ?????? ????? .??? ???? ! https://t.co/fvjL3ZESsY,0,1,none,1,1,0.77350205,good,good,,,,
17362,free_mentions,Likud,Right,Yamin Hadash,Right,GilaGamliel,Ayelet__Shaked,????? ????? ???? ?????? ??? ???. ?? ???? ??????? ????? ??? ?????? ???? ????. ??????? ???????. ????? ???? ????.,-1,1,none,-1,1,0.80844253,bad,bad,,,,
30185,free_mentions,Avoda,Left,Avoda,Left,mikiros1,mikiros1,"???? ???? ?? ???? ??????: ""??????? ??? ????? ??? ????"" - ?????!  https://t.co/f2hOVRcCVQ",1,-1,none,0,1,0.8879913,bad,good,1,,,
1608,free_mentions,Yesh Atid,Center,Meretz,Left,aliza_lavie,Michal_Rozin,"?????? ?? ???? ??????! ???? ??? ??????? ??? ????? ????? ???????? ???? ??????. ?????? ??? ???? ??? ???? ??? ??? ?????? ?? ????? ???? ??, ??????? ???????. ??? ??? ???????? Michal Rozin ???? ????? ????? ????? ?????... https://t.co/zLkMY6Xo4q",1,-1,none,-1,-1,0.92520815,good,good,,,,
31693,free_mentions,Yamin Hadash,Right,Likud,Right,naftalibennett,giladerdan1,"&gt;&gt;?????? ????? ?????? ??????? ???????.  ????? ???? ?? ????? ????, ???? ?? ?????? ?? ????? ???? ???? ?? ??? ??? ?????? ???? ???? ??? ?????? ???? ?????? ????? ?????? ??, ????? ???????? ?????????.  ????? ???? ??????? ??? ????? ????. ?? ????? ??? ???? ????? ?? ???? ??????, ????? ??.",0,1,none,0,1,0.9572686,bad,bad,,,,
29389,user_mentions,Avoda,Left,Likud,Right,mikiros1,netanyahu,@malic56 @PninaKatz @netanyahu https://t.co/QuOtYJDpLZ,-1,0,none,0,1,0.7236925,bad,bad,-1,,,
25804,user_mentions,Culanu,Right,Avoda,Left,Meravbenari,ishmuli,"??? ??? ??? ??? ??? ????? @ishmuli ???? ????? ??? ????. ????? ?? ??? ???? ???? ???? ???, ????  ?? ??? ???? ????? ??? ????.. ????? ???? ?????? ?? ??? ?????. ??? ???!???????????????????",1,1,none,1,1,0.9980197,good,good,,,,
23571,free_mentions,Likud,Right,Likud,Right,Israel_katz,IsraeliPM,"???? ??????? ?????? @netanyahu ????? ?? ??????? ?????? ?????. ???, ???? ??? ????",1,1,none,1,1,0.915193,good,good,,,,
46316,free_mentions,Avoda,Left,Likud,Right,YossiYonah,netanyahu,????? ???? ?? ????? ?????? ????? ?????? ????? ???????? ???? https://t.co/naTNXUWaxe,-1,-1,none,-1,-1,0.95197356,good,good,,,,
21779,free_mentions,Yesh Atid,Center,Likud,Right,idanroll,netanyahu,"????? ????? ????? ????? ?????? ?????? ?????? ?????????? ????? ???? ?'???' ???????, ?? ????? ?????? ???. ?????? ???? ????????? ?? ?????? ???? ?? ????? ?????? ?????? ??????, ?????? ????.",-1,-1,none,-1,-1,0.8794518,good,good,,,,
19052,free_mentions,Avoda,Left,Likud,Right,HassonYoel,IsraeliPM,"?? ????? ????? ?????? ??????? ?? ???? ?????? ?????? ??, ??? ???? ?""??? ???? ?? ?????"". ??????, ????? ?? ???? ???? ?????? ?? ????? ?? ??? ??????, ?? ???? ?? ??? ????. ???? ???? ???? ?? ???? ??? ?? ????. ???? ?@netanyahu ?????? ?? ????????? ???,  ??????? ???? ??????? ????? ???????? https://t.co/2V9KhEq3G9",none,-1,-1,-1,1,0.82087284,bad,bad,,,,
14345,user_mentions,Avoda,Left,Culanu,Right,ErelMargalit,elicoh1,"????? ???? ??????? -??? ????. ?? ?? ?????? ?? ?????? ??""? ???? ??? ?????. ????? ?????? ?????? ???? ??? ???? ?????? ???? ?????? ?""? ????? ?????? ???""? ????? ??????. ???? ??? ? @KahlonMoshe ?@elicoh1 ?????? ??????? ????? ????? ????? ??????? ??????? ??? ???? https://t.co/y5H0zkNg0A",none,1,1,1,1,0.51933795,good,good,,,,
29181,free_mentions,Avoda,Left,Likud,Right,mikiros1,IsraeliPM,????? ??????? ?? ????? ??????: ????? ????? ????? - ???? ? ????? ????? - ???? ? ????? ????? ????? - ???? ? ???? ???????? ???? -?? ???? ???? ????? ?????? -??,none,-1,-1,-1,-1,0.63184613,good,good,,,,
9491,free_mentions,Blue and White,Center,Likud,Right,BlueWhite2019,netanyahu,"?????? ?????? ????? 13 ???:  ?????? ????? ???? ???? ?????! ???????: 1. ??????? ?????? ???????? ?????? ????? ?? ????? ???? ?????? ?????? ??? ?????? ???? ???? ???? ????? ????? ??????. ????? ??????? ???????, ?????, ?????? ???? ??????? ??? ??? ?????? ??????? ????????? ????? ?????.",none,-1,-1,-1,-1,0.605596,good,good,,,,
3179,free_mentions,Avoda,Left,Avoda,Left,amirperetz,HavodaParty,"?? ????? ????, ????? ????? ????? ?????? ??????: ?????? ????? ??? ?? ?? ????? ????? ???? @BenCaspit @radio103fm  https://t.co/SnSVAP7XvE",none,0,0,0,-1,0.4961745,bad,bad,1,,,
1847,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,drAnatBerko,"??????? ????? ????? ????? ????? ????? ????? ???? 70 ??? ??????. ?????? ???????? ????? ?????? ??? ??????? ????? ???????? ????? ?????? ??????? ?? ?????,????? ??? ????? ???? @miffno @ReinsteinJosh @drAnatBerko @AmirOhana https://t.co/b96ORZhLap",none,1,1,1,1,0.9761895,good,good,,,,
117,user_mentions,Hadash Taal,Left,Culanu,Right,Ahmad_tibi,DrMichaelOren,@DrMichaelOren @arikbender #????,none,0,0,0,1,0.7236925,bad,bad,,,,
17086,free_mentions,Likud,Right,Likud,Right,giladerdan1,Tzachi_Hanegbi,????? ?? ????? ????? ?? ????? ???? ????? ???? ???? ????? ???!  ??? ?????? ?????????? ?????  @Tzachi_Hanegbi https://t.co/jIBalSXkr3,none,-1,1,1,1,0.99134165,good,good,,,,
12985,user_mentions,Likud,Right,Likud,Right,dudiamsalem,oren_haz,@hani24 @nadavabeksis @oren_haz @ariyederi @KahlonMoshe ????? ????,none,1,0,0,-1,0.8241129,bad,bad,,,,
1064,quoted_status,Hadash Taal,Left,Hadash Taal,Left,AidaTuma,AidaTuma,"????? ???????? ??????? ?- 2016, ???? ? 60%!  ????? ??? ?? ??? ?????? ??? ??????? ????????? ?? ??????. https://t.co/0wSPGgKq1f",none,0,0,0,-1,0.971358,bad,bad,,,,
17235,user_mentions,Likud,Right,Yamin Hadash,Right,giladerdan1,Ayelet__Shaked,@Nehemia_G @Ayelet__Shaked ?? ??????. ?? ??????. ?????? ?????? ??? ?? ?????? ?????. ????? ?? ?? .,none,-1,-1,-1,-1,0.9600187,good,good,,,,
14212,user_mentions,Avoda,Left,Yamin Hadash,Right,Eranhermoni,naftalibennett,????? ??????:  @netanyahu @regev_miri @naftalibennett @moshefeiglin https://t.co/CkDGXLiw10,none,-1,0,-1,1,0.8858487,bad,bad,,,,
565,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,regev_miri,???? ???: ??? ??? ??? ???.. ?? ?? ????? ??????? @GLZRadio,none,-1,-1,-1,-1,0.9501475,good,good,,,,
5260,user_mentions,Avoda,Left,Israel Resilience Party,Center,Ayeletnnv,bogie_yaalon,"@danizamir @BlueWhite2019 @bogie_yaalon @yairlapid @gantzbe ???? ???,????. ????? ?? ????? ??? ????. ????? ???? ????? ?? ?? ???? ???? ?????? ??? ??????? ????? ?? ??? ?? ???????? ??????? ????? ?????? ????? ????. ??? ??? ????? ???? ?? ???....?????? ????? ?? ",none,-1,-1,-1,-1,0.8962453,good,good,,,,
28424,quoted_status,Avoda,Left,Avoda,Left,MeravMichaeli,mikiros1,?????! https://t.co/sOhmtSrh7D,none,1,1,1,1,0.7236925,good,good,,,,
2439,free_mentions,Yesh Atid,Center,Yesh Atid,Center,aliza_lavie,aliza_lavie,"?""? ????? ????:""????? ????? ?????,???? ????? ??? ?? ?????? ?????"": http://t.co/9jh1vNO3VU ??? @youtube",none,-1,0,0,1,0.86396396,bad,bad,,,,
27189,user_mentions,Avoda,Left,Avoda,Left,MeravMichaeli,swid4,@goldens32 @Syechimovich @ishmuli @StavShaffir @amirperetz @EmilieMoatti @omerbarlev @swid4 @itay_almog_bar @yayafink ???? ??? ????????,none,1,1,1,1,0.9893128,good,good,,,,
9712,free_mentions,Israel Resilience Party,Center,Likud,Right,bogie_yaalon,IsraeliPM,"?? ?? ????. ?? ?????? ?????? ??????? ?? ?????? ???? ??? ????? ?????, ??? ????? ?????? ?????? ?? ??????. ??? ???? ???????, ????? ??????? ???? - ????? ???????? ???? ?? ?? ????? ?? ??????. ??? ?????? ?-@talshalev1, ?????? ??????? ???? ?????? ??????????? ?? ???? ?????. https://t.co/wfmWznYKZx",none,-1,-1,-1,1,0.9543214,bad,bad,,,,
22720,user_mentions,Avoda,Left,Avoda,Left,ishmuli,omerbarlev,@HaimHabulai @Syechimovich @amirperetz @StavShaffir @EmilieMoatti @omerbarlev @yayafink @itay_almog_bar @mk_mizrahimoshe ???? ????. ????,none,1,1,1,1,0.9758911,good,good,,,,
30904,free_mentions,Avoda,Left,Yamin Hadash,Right,MKNachmanShai,Ayelet__Shaked,?????? ??? ??????? ?????? ?? ????? ??? ????? ?? ??? ???? ?????? ???? ????? ????? ?????.,none,-1,-1,-1,-1,0.88295186,good,good,,,,
8062,free_mentions,Israel Betenu,Right,Israel Betenu,Right,Beytenu,AvigdorLiberman,"Avigdor Liberman - ??????? ?????? ???? ????? ??? ?? ?? ??????? ????? ?? ?? ???????? ?????? ???? 31, ???? ????.... http://t.co/4AbeJgut",none,1,0,1,1,0.5579757,good,good,,,,
29042,user_mentions,Avoda,Left,Avoda,Left,mikiros1,Ayeletnnv,@Ayeletnnv ??? ???,none,1,1,1,1,0.9750744,good,good,,,,
33725,free_mentions,Avoda,Left,Likud,Right,omerbarlev,netanyahu,???? ??????? ?????? ??? ???? - ?????? ?? ????? ??????? ????? ??? ???? ?? ?????????? ??? ???? ??? ???? ?? ????????? ????????? ?? ??????,none,1,-1,-1,-1,0.6526733,good,good,,,,
14611,free_mentions,Avoda,Left,Avoda,Left,ErelMargalit,HaimJelin,"@elicoh1 ????? ????? ????? ????? ???? ??? ?? ???? ????, ???? ???? ?????? ?????? ???????? ????? ?? ??? ?????? ?????? https://t.co/PFLObq9TZ1",none,1,1,1,-1,0.5856515,bad,bad,,,,
6734,free_mentions,Likud,Right,Yesh Atid,Center,ayoobkara,yairlapid,?????? ?? ???? ?????? ??? ????(???? ???!?)???? ???? ?????? ??????? ?? ?? ???? ??? ?????? ???? ?? ?????? ????? ??????? ????? ????? ???? ????. https://t.co/oumgFyAWgz,none,1,-1,-1,-1,0.91610897,good,good,,,,
38721,free_mentions,Avoda,Left,Yamin Hadash,Right,StavShaffir,Ayelet__Shaked,"????? ?????? ????: ????? ?? ???? ????? ??? ?? ???? ????? ???? ????? ????? ??????? ??????? ?????? ??? ????, ??? ??? ?????? ?????? ????????",none,-1,0,0,-1,0.99293584,bad,bad,,,,
25949,quoted_status,Culanu,Right,Avoda,Left,Meravbenari,MeravMichaeli,????? ?????? ?? ???? ?????? ??????. ???? ????? ???? ????? ????? ?????? ????? ?????? ??? ????.  ??? ???? ??? ????? ?????? ?????? ??????? ??? ?? ?????? ?? ?????(?? ????? ?? ???? ??? ?? ??????? ?? ????? ??????) ?????? ????? ?? ???? ?? ???? ?? ??? ??? ???? ?????? ??????? ?????? ????? https://t.co/QpTzQ2xv4q,none,-1,-1,-1,-1,0.82161486,good,good,,,,
